Instance | nNode |orderL|  MstLB|  DPLB | bfDPLB | PermLB| MstTime|  DPTime | bfDPTime | PermTime|
SPPWP_6_2 | 6 | 2 | 173.03285881495046 | 200.60689877534452| 200.60689877534452 | 233.9924867704704 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_6_3 | 6 | 3 | 112.93511881083927 | 166.170681254784| 166.170681254784 | 173.98626341120195 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_6_3 | 6 | 3 | 112.93511881083927 | 166.170681254784| 166.170681254784 | 173.98626341120195 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_6_4 | 6 | 4 | 175.86732723518708 | 194.65263073103768| 194.65263073103768 | 259.70696835371945 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_6_4 | 6 | 4 | 175.86732723518708 | 194.65263073103768| 194.65263073103768 | 259.70696835371945 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_7_2 | 7 | 2 | 275.7211722289748 | 290.3065753824561| 290.3065753824561 | 370.62704731000167 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_7_3 | 7 | 3 | 202.07224887832464 | 168.86878166462205| 168.86878166462205 | 233.77853275254802 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_7_4 | 7 | 4 | 278.8809836823348 | 414.56753939777843| 414.56753939777843 | 415.3172977528353 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_7_4 | 7 | 4 | 278.8809836823348 | 414.56753939777843| 414.56753939777843 | 415.3172977528353 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_7_5 | 7 | 5 | 238.87183767411642 | 470.7855839285045| 470.7855839285045 | 486.4185253861231 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_8_3 | 8 | 3 | 165.99867972939256 | 201.04988043682457| 201.04988043682457 | 202.28521454915492 | 0.0 | 0.0| 1.0 | 0.0| 
SPPWP_8_4 | 8 | 4 | 330.71423854433 | 351.9506794741394| 351.9506794741394 | 406.75496128465403 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_8_4 | 8 | 4 | 330.71423854433 | 351.9506794741394| 351.9506794741394 | 406.75496128465403 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_8_5 | 8 | 5 | 287.9375997590778 | 474.6654104402447| 474.6654104402447 | 556.7101721315674 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_8_6 | 8 | 6 | 330.90373245654416 | 548.7233907195506| 548.7233907195506 | 548.7233907195506 | 0.0 | 0.0| 0.0 | 0.0| 
SPPWP_9_3 | 9 | 3 | 321.31000127218704 | 332.635309952829| 332.635309952829 | 375.0342082564828 | 0.0 | 0.0| 31.0 | 1.0| 
SPPWP_9_4 | 9 | 4 | 309.4934342945931 | 393.42147341874| 393.42147341874 | 427.8621923733105 | 0.0 | 0.0| 4.0 | 1.0| 
SPPWP_9_5 | 9 | 5 | 430.7963168237549 | 507.4125695846825| 507.4125695846825 | 610.0972388748387 | 0.0 | 0.0| 0.0 | 1.0| 
SPPWP_9_6 | 9 | 6 | 356.6293652054021 | 461.3088635771207| 461.3088635771207 | 550.5714079982907 | 0.0 | 0.0| 0.0 | 1.0| 
SPPWP_9_7 | 9 | 7 | 390.7779469584702 | 652.0720958285174| 652.0720958285174 | 652.0720958285174 | 0.0 | 0.0| 0.0 | 1.0| 
SPPWP_10_4 | 10 | 4 | 482.20943719496665 | 520.1555594779456| 520.1555594779456 | 642.6019733603971 | 0.0 | 0.0| 215.0 | 10.0| 
SPPWP_10_5 | 10 | 5 | 465.1240959727258 | 532.4964034675721| 532.4964034675721 | 638.8974422061744 | 0.0 | 0.0| 22.0 | 12.0| 
SPPWP_10_6 | 10 | 6 | 398.6158917780948 | 587.2825389611947| 587.2825389611947 | 625.654107146909 | 0.0 | 0.0| 1.0 | 12.0| 
SPPWP_10_7 | 10 | 7 | 493.24173377580036 | 866.5562255171177| 866.5562255171177 | 904.7049996083659 | 0.0 | 0.0| 0.0 | 13.0| 
SPPWP_10_8 | 10 | 8 | 465.96797249543044 | 789.7282871118247| 789.7282871118247 | 814.9786414838338 | 0.0 | 0.0| 0.0 | 14.0| 
