Instance | nNode |orderL|  MstLB|  DPLB | MstTime|  DPTime |
SPPWP_50_20 | 50 | 20 | 5063.828840642706 | 8283.509688296786 | 0.0 | 5.0 | 
SPPWP_50_25 | 50 | 25 | 4528.894435077224 | 12460.052574011552 | 0.0 | 6.0 | 
SPPWP_50_30 | 50 | 30 | 4764.116524993086 | 14460.875082257331 | 0.0 | 7.0 | 
SPPWP_50_35 | 50 | 35 | 5271.862426792564 | 22939.263610264818 | 0.0 | 8.0 | 
SPPWP_50_40 | 50 | 40 | 5239.646119596304 | 21066.454298073113 | 0.0 | 9.0 | 
SPPWP_60_24 | 60 | 24 | 6281.278861649111 | 15811.264392601885 | 0.0 | 13.0 | 
SPPWP_60_30 | 60 | 30 | 6399.526597897789 | 19124.04567956402 | 0.0 | 17.0 | 
SPPWP_60_36 | 60 | 36 | 6441.3664983828285 | 20660.956905737126 | 0.0 | 22.0 | 
SPPWP_60_42 | 60 | 42 | 6221.640402542608 | 25072.87241447596 | 0.0 | 25.0 | 
SPPWP_60_48 | 60 | 48 | 6541.787470116422 | 30015.98984562689 | 0.0 | 28.0 | 
SPPWP_70_28 | 70 | 28 | 7702.517102592258 | 20043.645440877986 | 0.0 | 32.0 | 
SPPWP_70_35 | 70 | 35 | 8452.300773351611 | 23936.43552632418 | 0.0 | 45.0 | 
SPPWP_70_42 | 70 | 42 | 7931.00180455623 | 27416.801284347923 | 0.0 | 55.0 | 
SPPWP_70_49 | 70 | 49 | 8347.62369273981 | 36912.57825939703 | 0.0 | 63.0 | 
SPPWP_70_56 | 70 | 56 | 7936.233582020041 | 37599.73046675698 | 0.0 | 69.0 | 
SPPWP_80_32 | 80 | 32 | 10104.49909864861 | 25320.981943268493 | 0.0 | 72.0 | 
SPPWP_80_40 | 80 | 40 | 9508.28106633151 | 34945.756887531046 | 0.0 | 99.0 | 
SPPWP_80_48 | 80 | 48 | 9751.924448172613 | 40310.667204291254 | 0.0 | 121.0 | 
SPPWP_80_56 | 80 | 56 | 9787.469512626854 | 47448.862510010156 | 0.0 | 163.0 | 
SPPWP_80_64 | 80 | 64 | 9957.027370458245 | 58118.64844150328 | 0.0 | 175.0 | 
SPPWP_90_36 | 90 | 36 | 12278.586120358648 | 32834.524179314925 | 0.0 | 186.0 | 
SPPWP_90_45 | 90 | 45 | 12024.305078074343 | 42402.81583158146 | 0.0 | 229.0 | 
SPPWP_90_54 | 90 | 54 | 11149.1331071157 | 52306.90612899694 | 0.0 | 268.0 | 
SPPWP_90_63 | 90 | 63 | 11885.248730873984 | 65825.06885103861 | 0.0 | 305.0 | 
SPPWP_90_72 | 90 | 72 | 11874.209735410575 | 65764.9405244988 | 0.0 | 349.0 | 
SPPWP_100_40 | 100 | 40 | 14030.337471557785 | 42717.117618082295 | 0.0 | 330.0 | 
SPPWP_100_50 | 100 | 50 | 14056.939220384762 | 48958.63325280059 | 0.0 | 381.0 | 
SPPWP_100_60 | 100 | 60 | 13963.782095201106 | 64086.996009288545 | 0.0 | 458.0 | 
SPPWP_100_70 | 100 | 70 | 13489.810467386833 | 75137.24903250494 | 0.0 | 518.0 | 
SPPWP_100_80 | 100 | 80 | 12746.514685309146 | 88057.45829411625 | 0.0 | 578.0 | 
