Instance | nNode |orderL|  MstLB|  DPLB | MstTime|  DPTime |
SPPWP_15_6 | 15 | 6 | 827.80854054895 | 897.6593250687768 | 0.0 | 0.0 | 
SPPWP_15_7 | 15 | 7 | 717.0140044112859 | 1080.3159017084017 | 0.0 | 0.0 | 
SPPWP_15_9 | 15 | 9 | 938.6557539585199 | 1792.415142244357 | 0.0 | 0.0 | 
SPPWP_15_10 | 15 | 10 | 793.138597815665 | 1569.026529136479 | 0.0 | 0.0 | 
SPPWP_15_12 | 15 | 12 | 845.4894332009512 | 2053.477337350955 | 0.0 | 0.0 | 
SPPWP_20_8 | 20 | 8 | 1264.5572050021508 | 1572.3794203458303 | 0.0 | 0.0 | 
SPPWP_20_10 | 20 | 10 | 1425.8927996439334 | 2607.936168798624 | 0.0 | 0.0 | 
SPPWP_20_12 | 20 | 12 | 1377.3918910796453 | 2708.4699184540996 | 0.0 | 0.0 | 
SPPWP_20_14 | 20 | 14 | 1090.0825515787112 | 2667.148009816647 | 0.0 | 0.0 | 
SPPWP_20_16 | 20 | 16 | 1293.3768532271522 | 3742.171670424826 | 0.0 | 0.0 | 
SPPWP_25_10 | 25 | 10 | 1920.5935743311186 | 2602.2950454788734 | 0.0 | 0.0 | 
SPPWP_25_12 | 25 | 12 | 1628.265159013236 | 3185.4547451443595 | 0.0 | 0.0 | 
SPPWP_25_15 | 25 | 15 | 1572.2034964028542 | 3574.32592852761 | 0.0 | 0.0 | 
SPPWP_25_17 | 25 | 17 | 1637.8332252324196 | 3894.627720777865 | 0.0 | 0.0 | 
SPPWP_25_20 | 25 | 20 | 1544.1688518610538 | 4575.406190334429 | 0.0 | 0.0 | 
SPPWP_30_12 | 30 | 12 | 2068.7445475516392 | 3732.764251108967 | 0.0 | 0.0 | 
SPPWP_30_15 | 30 | 15 | 2255.9749267652674 | 3552.691563129041 | 0.0 | 0.0 | 
SPPWP_30_18 | 30 | 18 | 2190.1491487100484 | 6278.018013511336 | 0.0 | 0.0 | 
SPPWP_30_21 | 30 | 21 | 2036.2425681839045 | 5634.057691790986 | 0.0 | 0.0 | 
SPPWP_30_24 | 30 | 24 | 2160.082016575318 | 6039.1109454067555 | 0.0 | 0.0 | 
SPPWP_35_14 | 35 | 14 | 2797.4690690509033 | 5443.627157995948 | 0.0 | 0.0 | 
SPPWP_35_17 | 35 | 17 | 3098.773755029649 | 7516.227398807633 | 0.0 | 0.0 | 
SPPWP_35_21 | 35 | 21 | 2821.6331377162946 | 7712.631646669281 | 0.0 | 0.0 | 
SPPWP_35_24 | 35 | 24 | 2617.6138902889306 | 9566.91560031195 | 0.0 | 1.0 | 
SPPWP_35_28 | 35 | 28 | 2778.626264026996 | 8893.200435380026 | 0.0 | 1.0 | 
SPPWP_40_16 | 40 | 16 | 3492.7167314274134 | 6083.18734828724 | 0.0 | 1.0 | 
SPPWP_40_20 | 40 | 20 | 3550.1776888517275 | 8469.528634852772 | 0.0 | 1.0 | 
SPPWP_40_24 | 40 | 24 | 3841.7976854689095 | 11750.936956427391 | 0.0 | 2.0 | 
SPPWP_40_28 | 40 | 28 | 3730.845475670355 | 11946.74783601911 | 0.0 | 2.0 | 
SPPWP_40_32 | 40 | 32 | 3527.5407097581724 | 12832.63030677004 | 0.0 | 2.0 | 
